financial_year,maker,market_share,month,num_vehicles
2022-23,BEING INDIA,0.01,Jun,959
2022-23,BEING INDIA,0.01,Jul,1167
2022-23,BEING INDIA,0.01,Aug,1063
2022-23,BEING INDIA,0.01,Sep,976
2022-23,BEING INDIA,0.01,Oct,1422
2022-23,BEING INDIA,0.01,Nov,1216
2022-23,BEING INDIA,0.01,Dec,966
2022-23,BEING INDIA,0.01,Jan,571
2022-23,BEING INDIA,0.01,Feb,337
2022-23,BEING INDIA,0.01,March,444
2022-23,JITENDRA NEW EV,0.01,Apr,915
2022-23,JITENDRA NEW EV,0.01,May,626
2022-23,JITENDRA NEW EV,0.01,Jun,549
2022-23,JITENDRA NEW EV,0.01,Jul,847
2022-23,JITENDRA NEW EV,0.01,Aug,647
2022-23,JITENDRA NEW EV,0.01,Sep,661
2022-23,JITENDRA NEW EV,0.01,Oct,1111
2022-23,JITENDRA NEW EV,0.01,Nov,1255
2022-23,JITENDRA NEW EV,0.01,Dec,668
2022-23,JITENDRA NEW EV,0.01,Jan,522
2022-23,JITENDRA NEW EV,0.01,Feb,308
2022-23,JITENDRA NEW EV,0.01,March,350
2022-23,OTHERS,0.08,Apr,5967
2022-23,OTHERS,0.08,May,4563
2022-23,OTHERS,0.08,Jun,4278
2022-23,OTHERS,0.08,Jul,3990
2022-23,OTHERS,0.08,Aug,2867
2022-23,OTHERS,0.08,Sep,3019
2022-23,OTHERS,0.08,Oct,3625
2022-23,OTHERS,0.08,Nov,5241
2022-23,OTHERS,0.08,Dec,5233
2022-23,OTHERS,0.08,Jan,5111
2022-23,OTHERS,0.08,Feb,5083
2022-23,OTHERS,0.08,March,7562
