financial_year,maker,market_share,month,num_vehicles
2019-20,Hero Electric,0.3,Apr,1776
2019-20,Hero Electric,0.3,May,455
2019-20,Hero Electric,0.3,Jun,329
2019-20,Hero Electric,0.3,Jul,260
2019-20,Hero Electric,0.3,Aug,249
2019-20,Hero Electric,0.3,Sep,245
2019-20,Hero Electric,0.3,Oct,541
2019-20,Hero Electric,0.3,Nov,859
2019-20,Hero Electric,0.3,Dec,459
2019-20,Hero Electric,0.3,Jan,616
2019-20,Hero Electric,0.3,Feb,648
2019-20,Hero Electric,0.3,Mar,1428
2019-20,Okinawa Autotech,0.38,Apr,928
2019-20,Okinawa Autotech,0.38,May,847
2019-20,Okinawa Autotech,0.38,Jun,688
2019-20,Okinawa Autotech,0.38,Jul,824
2019-20,Okinawa Autotech,0.38,Aug,818
2019-20,Okinawa Autotech,0.38,Sep,914
2019-20,Okinawa Autotech,0.38,Oct,1006
2019-20,Okinawa Autotech,0.38,Nov,1394
2019-20,Okinawa Autotech,0.38,Dec,762
2019-20,Okinawa Autotech,0.38,Jan,715
2019-20,Okinawa Autotech,0.38,Feb,664
2019-20,Okinawa Autotech,0.38,Mar,575
2019-20,Ather Energy,0.11,Apr,28
2019-20,Ather Energy,0.11,May,107
2019-20,Ather Energy,0.11,Jun,464
2019-20,Ather Energy,0.11,Jul,300
2019-20,Ather Energy,0.11,Aug,183
2019-20,Ather Energy,0.11,Sep,96
2019-20,Ather Energy,0.11,Oct,140
2019-20,Ather Energy,0.11,Nov,358
2019-20,Ather Energy,0.11,Dec,282
2019-20,Ather Energy,0.11,Jan,284
2019-20,Ather Energy,0.11,Feb,369
2019-20,Ather Energy,0.11,Mar,294
2019-20,Ampere Vehicles,0.09,Apr,0
2019-20,Ampere Vehicles,0.09,May,103
2019-20,Ampere Vehicles,0.09,Jun,107
2019-20,Ampere Vehicles,0.09,Jul,35
2019-20,Ampere Vehicles,0.09,Aug,57
2019-20,Ampere Vehicles,0.09,Sep,155
2019-20,Ampere Vehicles,0.09,Oct,176
2019-20,Ampere Vehicles,0.09,Nov,135
2019-20,Ampere Vehicles,0.09,Dec,434
2019-20,Ampere Vehicles,0.09,Jan,867
2019-20,Ampere Vehicles,0.09,Feb,296
2019-20,Ampere Vehicles,0.09,Mar,153
2019-20,Revolt,0.04,Apr,0
2019-20,Revolt,0.04,May,0
2019-20,Revolt,0.04,Jun,0
2019-20,Revolt,0.04,Jul,0
2019-20,Revolt,0.04,Aug,0
2019-20,Revolt,0.04,Sep,0
2019-20,Revolt,0.04,Oct,89
2019-20,Revolt,0.04,Nov,189
2019-20,Revolt,0.04,Dec,202
2019-20,Revolt,0.04,Jan,314
2019-20,Revolt,0.04,Feb,155
2019-20,Revolt,0.04,Mar,114
2019-20,Others,0.08,Apr,247
2019-20,Others,0.08,May,128
2019-20,Others,0.08,Jun,146
2019-20,Others,0.08,Jul,135
2019-20,Others,0.08,Aug,179
2019-20,Others,0.08,Sep,135
2019-20,Others,0.08,Oct,167
2019-20,Others,0.08,Nov,187
2019-20,Others,0.08,Dec,81
2019-20,Others,0.08,Jan,129
2019-20,Others,0.08,Feb,204
2019-20,Others,0.08,Mar,288
